左上图,右上图,左下图,右下图,性别,图片,情绪面孔位置,正确面孔位置,反应时间,实际反应,正确与否,总体正确率,学号,电话号码,组别
(恐惧)VS1/40af4466-f648-4ef0-ab60-23467a149ba5.png,(恐惧)VS1/438ceaa7-8354-4e14-b857-a964760ad4fe.png,(中性)VS1/3女15-34中性2A9f7cc3左上.png,(愤怒)VS1/4女15-34强愤怒1A58657b右上.png,1,1,1,3,1.334197998046880,3,1,86.7%,="12",="132",312
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(负性)VS1/212f1294-94bf-4684-8444-ff5f08269f65.png,(负性)VS1/4fac8f8e-d173-4619-b82d-5ad8155a0c26.png,(负性)VS1/fae9019c-3d04-4e33-bef7-f36a5c338972.png,1,1,1,1,0.950874328613281,1,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(愤怒)VS1/3男15-34强愤怒1Ab7909f右下.png,(悲伤)VS1/40a87820-d13f-4135-95c0-3fd1b172cc62.png,(愤怒)VS1/7e5b895e-b447-48a6-8ae5-6e9d7e238f9e.png,1,1,1,1,0.900672912597656,1,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(愤怒)VS1/3男15-34强愤怒1Ab7909f右下.png,(悲伤)VS1/40a87820-d13f-4135-95c0-3fd1b172cc62.png,(愤怒)VS1/7e5b895e-b447-48a6-8ae5-6e9d7e238f9e.png,1,1,1,1,0.950702667236328,1,1,,="",="",
(恐惧)VS1/40af4466-f648-4ef0-ab60-23467a149ba5.png,(恐惧)VS1/438ceaa7-8354-4e14-b857-a964760ad4fe.png,(中性)VS1/3女15-34中性2A9f7cc3左上.png,(愤怒)VS1/4女15-34强愤怒1A58657b右上.png,1,1,1,3,0.800743103027344,3,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(负性)VS1/212f1294-94bf-4684-8444-ff5f08269f65.png,(负性)VS1/4fac8f8e-d173-4619-b82d-5ad8155a0c26.png,(负性)VS1/fae9019c-3d04-4e33-bef7-f36a5c338972.png,1,1,1,1,0.800056457519531,1,1,,="",="",
(恐惧)VS1/40af4466-f648-4ef0-ab60-23467a149ba5.png,(恐惧)VS1/438ceaa7-8354-4e14-b857-a964760ad4fe.png,(中性)VS1/3女15-34中性2A9f7cc3左上.png,(愤怒)VS1/4女15-34强愤怒1A58657b右上.png,1,1,1,3,1.233657836914060,3,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(愤怒)VS1/3男15-34强愤怒1Ab7909f右下.png,(悲伤)VS1/40a87820-d13f-4135-95c0-3fd1b172cc62.png,(愤怒)VS1/7e5b895e-b447-48a6-8ae5-6e9d7e238f9e.png,1,1,1,1,0.667205810546875,1,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(负性)VS1/212f1294-94bf-4684-8444-ff5f08269f65.png,(负性)VS1/4fac8f8e-d173-4619-b82d-5ad8155a0c26.png,(负性)VS1/fae9019c-3d04-4e33-bef7-f36a5c338972.png,1,1,1,1,0.767997741699219,2,0,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(愤怒)VS1/3男15-34强愤怒1Ab7909f右下.png,(悲伤)VS1/40a87820-d13f-4135-95c0-3fd1b172cc62.png,(愤怒)VS1/7e5b895e-b447-48a6-8ae5-6e9d7e238f9e.png,1,1,1,1,0.416954040527344,1,1,,="",="",
(恐惧)VS1/40af4466-f648-4ef0-ab60-23467a149ba5.png,(恐惧)VS1/438ceaa7-8354-4e14-b857-a964760ad4fe.png,(中性)VS1/3女15-34中性2A9f7cc3左上.png,(愤怒)VS1/4女15-34强愤怒1A58657b右上.png,1,1,1,3,1.834686279296880,3,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(负性)VS1/212f1294-94bf-4684-8444-ff5f08269f65.png,(负性)VS1/4fac8f8e-d173-4619-b82d-5ad8155a0c26.png,(负性)VS1/fae9019c-3d04-4e33-bef7-f36a5c338972.png,1,1,1,1,0.567901611328125,2,0,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(愤怒)VS1/3男15-34强愤怒1Ab7909f右下.png,(悲伤)VS1/40a87820-d13f-4135-95c0-3fd1b172cc62.png,(愤怒)VS1/7e5b895e-b447-48a6-8ae5-6e9d7e238f9e.png,1,1,1,1,0.583862304687500,1,1,,="",="",
(中性)VS1/2男15-34中性2A1c3dcc左上.png,(负性)VS1/212f1294-94bf-4684-8444-ff5f08269f65.png,(负性)VS1/4fac8f8e-d173-4619-b82d-5ad8155a0c26.png,(负性)VS1/fae9019c-3d04-4e33-bef7-f36a5c338972.png,1,1,1,1,0.517974853515625,1,1,,="",="",
(恐惧)VS1/40af4466-f648-4ef0-ab60-23467a149ba5.png,(恐惧)VS1/438ceaa7-8354-4e14-b857-a964760ad4fe.png,(中性)VS1/3女15-34中性2A9f7cc3左上.png,(愤怒)VS1/4女15-34强愤怒1A58657b右上.png,1,1,1,3,0.817260742187500,3,1,,="",="",
